Name,Paved Path,Protected Bike Lane,Bike Lane,Marked Route,Unmarked Route,All Roads
Alpine,15.1,0,0.7,0,7.8,73.2
Alta,0,0,0,1,1,12.2
Altamont,0,0,0,0,0,5
Alton,0,0,0,0,3,15.2
Amalga,0.4,0,0,0,0,13.1
American Fork,9.7,2,6.9,0,9.9,195.3
Annabella,0,0,0,0,1.7,12
Antimony,0,0,0,0,0,46.2
Apple Valley,0,0,0,0,0.4,86.5
Aurora,0,0,0,0,0.3,12.9
Ballard,0,0,0,0,2.9,39.9
Bear River City,0,0,0,0,0,15.1
Beaver,0.5,0,0,0,3.6,79.5
Beaver County (Unincorporated),2.1,0,0,0,22.7,4522.6
Bicknell,0,0,0,0,0.8,13.5
Big Water,0,0,0,0,20.8,40.8
Blanding,0,0,0,0,3.2,71.4
Bluff,0,0,0,0,6.3,118.1
Bluffdale,30.8,0,17.6,0.1,8.3,124.2
Boulder,0,0,0,0,0,44.1
Bountiful,0.9,0,6.2,0,10.9,188.1
Box Elder County (Unincorporated),0,0,0,0,35.4,5611.9
Brian Head,2.8,0,0,0,0,43.1
Brigham City,2.9,0,5.2,0,5.1,153
Brighton,2.7,0,0,6.2,3.7,36
Bryce Canyon City,6.3,0,0,0,1.2,16.3
Cache County (Unincorporated),1.4,0,0.6,0,53.4,1401.4
Cannonville,0,0,0,0,0,19.4
Carbon County (Unincorporated),1.3,0,0,0,55,2566.4
Castle Dale,0,0,0,0,2.6,22.5
Castle Valley,0,0,0,0,0,29
Cedar City,10.5,0,5.1,0,19.1,304.1
Cedar Fort,0,0,0,0,6.3,21.8
Cedar Hills,8.6,0,0,0,4.3,35.3
Centerfield,0,0,0,0,7.3,21.4
Centerville,12.7,0,4.6,0,6.4,108.9
Central Valley,1.8,0,0,0,0.6,15.8
Charleston,0.2,0,0,0,4.1,15.4
Circleville,0,0,0,0,9.9,59.2
Clarkston,0,0,0,0,0,11.6
Clawson,0,0,0,0,2.2,11.5
Clearfield,12.5,0,3.8,0,14.9,137.6
Cleveland,0,0,0,0,0.8,10.1
Clinton,10.1,0,0,0,17.6,95.5
Coalville,0,0,0,0,0.4,50.2
Copperton,0,0,0,0,1.1,5.4
Corinne,0,0,0,0,1.7,22.8
Cornish,0,0,0,0,0,17.3
Cottonwood Heights,5.4,0,15.7,0.6,4.8,153.2
Daggett County (Unincorporated),0,0,0,0,3.2,775.5
Daniel,0,0,0,0,1.9,15
Davis County (Unincorporated),33.4,0,9.2,0,14.2,364
Delta,0,0,0,0,5.3,69.8
Deweyville,0,0,0,0,0.3,24.4
Draper,33.4,0,24.9,0.4,28.7,268.7
Duchesne,0,0,0,0,7.8,42.3
Duchesne County (Unincorporated),0,0,0,0.7,54.1,4189.8
Dutch John,0,0,0,0,0,26.2
Eagle Mountain,70.2,0,2.6,0,13.7,293.8
East Carbon,0,0,0,0,0.8,40.6
Elk Ridge,2.6,0,0,0,1.4,29.6
Elmo,0,0,0,0,0,9
Elsinore,17.8,0.2,0.6,0,0.4,36
Elwood,0,0,0,0,1.8,46.9
Emery,0,0,0,0,3.4,16.9
Emery County (Unincorporated),0,0,0,0,134.8,4679.8
Emigration Canyon,0,0,4.8,3.8,0,25.9
Enoch,0,0,0,0,0.2,79.3
Enterprise,0,0,0,0,1.1,34.9
Ephraim,0,0,0,0.1,3.2,50
Erda,0,0,0,0,8.7,86.1
Escalante,0,0,1,0,0.1,28.4
Eureka,0,0,0,0,0,17.8
Fairfield,0.1,0,0,0,2,42.8
Fairview,0,0,0,0,2.1,17.4
Farmington,36.4,0,0.6,0,16.9,196.9
Farr West,2.9,0,0.7,3.5,5.4,56.6
Fayette,0,0,0,0,0,4.9
Ferron,0,0,0,0,3.3,27.3
Fielding,0,0,0,0,0,7.6
Fillmore,0,0,1,0,2.7,77.5
Fountain Green,0,0,0,0,1.1,19.6
Francis,0,0,0,0,0.5,28
Fruit Heights,0.2,0,1.9,0,5.9,36
Garden City,2.9,0,0,0,0.5,76.2
Garfield County (Unincorporated),17.3,0,1,0,55.1,4872.3
Garland,0,0,0,0,5.3,24.2
Genola,0,0,0,0,1,41.5
Glendale,0,0,0,0,4.6,29.2
Glenwood,0,0,0,0,0.1,7.8
Goshen,0,0,0,0,0.5,12.7
Grand County (Unincorporated),11.4,0,0.3,0,43.1,7152.7
Grantsville,3.2,0,0,0,18.5,174.8
Green River,0,0,0,0,38.2,131.1
Gunnison,1.1,0,0,0,5.2,29.8
Hanksville,0,0,0,0,0,14.4
Harrisville,0.9,0,0,0,5.5,33.1
Hatch,0,0,0,0,5.2,13.1
Heber City,12.5,0,0,0,20.2,159.2
Helper,0,0,0,0,2.6,29.8
Henefer,0,0,0,0,2.2,33.6
Henrieville,0,0,0,0,0.4,10.1
Herriman,40.1,0,13.8,0,20,234.5
Hideout,2.7,0,0,0,4.5,27.8
Highland,40.2,0,4.9,0.1,13.8,119.6
Hildale,0,0,0,0,0.3,39.7
Hinckley,0,0,0,0,0.2,26.2
Holden,0,0,0,0,0.8,14.2
Holladay,1.2,0,7.3,0.8,15.2,150.2
Honeyville,0,0,0,0,0.5,56.2
Hooper,3.7,0,0,0,2,69.4
Howell,0,0,0,0,0,56.3
Huntington,0,0,0,0,3.2,24.9
Huntsville,1.3,0,0,0,0,15.6
Hurricane,0,0,0.3,0,35,295.2
Hyde Park,2.1,0,0,0,3.7,49.3
Hyrum,0,0,0,0,1.4,77.1
Independence,0,0,0,0,9.7,44.4
Interlaken,0.4,0,0,0,0,4.1
Iron County (Unincorporated),4.8,0,0,0,20.3,5527.4
Ivins,8.1,0,0.5,0,3.2,109.4
Joseph,15.8,0.3,0,0,0.5,26.2
Juab County (Unincorporated),0,0,0,0,45.1,4583.2
Junction,0,0,0,0,5.2,47.3
Kamas,0,0,0,0,6.7,22.9
Kanab,0,0,0,0,10.5,83
Kanarraville,0,0,0,0,0,7.8
Kane County (Unincorporated),0,0,0,0,91.1,3985.8
Kanosh,0,0,0,0,0.8,10.9
Kaysville,20,0,6,1.3,7.9,190.7
Kearns,5.3,0,6.1,0.8,10.7,105.8
Kingston,0,0,0,0,0,22.7
Koosharem,0,0,0,0,0,19.7
La Verkin,0,0,0,0,3.7,50.7
Lake Point,0,0,0,0,5.4,52.9
Laketown,0,0,0,0,0,23.3
Layton,30.2,0,6.8,0,37.9,382.9
Leamington,0,0,0,0,0.8,10.1
Leeds,0,0,0,0,1.1,48.8
Lehi,78.7,0.9,12.6,0,23.8,422.6
Levan,0,0,0,0,0.9,13.7
Lewiston,0,0,0,0,3,62.4
Lindon,21.7,0,7.7,1.1,9.9,84
Loa,0,0,0,0,0.9,16.2
Logan,9.7,0,4,1.3,31.2,234.9
Lyman,0,0,0,0,0.2,15.8
Lynndyl,0,0,0,0,0.2,26.3
Magna City,8.2,0,3,6.8,19.4,140.8
Manila,0,0,0,0,0,13.5
Manti,0,0,0,0,5.4,50.1
Mantua,0,0,0,0,2.6,29.3
Mapleton,11.4,0,6,0,6.1,109.1
Marriott-Slaterville,2.8,0,0.6,0,5.2,42.5
Marysvale,0,0,0,0,4.1,76.7
Mayfield,0,0,0,0,0.1,10.7
Meadow,0,0,0,0,0.1,8.2
Mendon,1.3,0,0,0,0.1,18.1
Midvale,7.2,0,0.4,0,14,117.1
Midway,23,0,2,0,2.1,73.1
Milford,0,0,0,0,8.8,27.7
Millard County (Unincorporated),0,0,0,0,40.7,8826.6
Millcreek,5.3,0,15.4,5.8,19.7,242.3
Millville,0,0,0,0,0.9,20.8
Minersville,0,0,0,0,2.3,18.3
Moab,6.2,0,3.6,0,6.7,78.4
Mona,0,0,0,0,0.1,27.8
Monroe,0,0,0,0,1.4,40.7
Monticello,0,0,0,0,3.8,24.9
Morgan,1.3,0,0,0,1.9,34.9
Morgan County (Unincorporated),1.9,0,0,6,0.1,1306.8
Moroni,0,0,0,0,0.8,17.5
Mount Pleasant,0,0,0,0,1.9,48.8
Murray,7.8,0,7,2.5,20.1,247.9
Myton,0,0,0,0,9,14.6
Naples,0.8,0,0.6,0,7.2,27.6
Nephi,0,0,0,0,6.3,90.2
New Harmony,0,0,0,0,0,7.7
Newton,0,0,0,0,0.6,14.6
Nibley,2.7,0,0.8,0,6,51.6
North Logan,7,0,0.9,0,8.6,69.8
North Ogden,2.5,0,1.9,0,5.8,104.6
North Salt Lake,12.2,0,8.3,0,11.1,117.1
Oak City,0,0,0,0,0.2,12.7
Oakley,1,0,0,0,2.6,35.3
Ogden,15.7,0.6,20.7,3.6,41.3,366.1
Orangeville,0,0,0,0,0.6,13.9
Orderville,0,0,0,0,9.1,42.3
Orem,39.4,0,28.2,0,38.6,345.9
Panguitch,0,0,0,0,3.1,33.5
Paradise,0,0,0,0,0,17.6
Paragonah,0,0,0,0,0.4,12.6
Park City,22.3,0,2.2,6.2,17,148.5
Parowan,0,0,0,0,1.9,88.3
Payson,7.4,0,5.7,0,4.2,144.6
Perry,0.4,0,0,0,2.5,70.1
Piute County (Unincorporated),0,0,0,0,15.9,1316.3
Plain City,1.1,0,0,0.4,3.3,60.5
Pleasant Grove,13.4,0,3.2,0,16.5,145
Pleasant View,1.6,0,0.4,0,4.3,70.1
Plymouth,0,0,0,0,2.4,14.9
Portage,0,0,0,0,0,12.1
Price,1.3,0,0,0,12.2,72.2
Providence,0,0,4.7,3.7,2.2,52.9
Provo,48.7,0.5,51.6,4.9,19.9,379.9
Randolph,0,0,0,0,0.4,24
Redmond,2.7,0,0,0,0.3,13.8
Rich County (Unincorporated),0,0,0,0,0,2017.3
Richfield,2.4,0,0.6,0,10.3,114
Richmond,0,0,0,0,2.1,32
River Heights,0,0,0.5,0,0.1,11.6
Riverdale,4.6,0,3.6,0,4.6,73
Riverton,18,0,18.4,0.7,8.3,199.5
Rockville,0,0,0,0,4.9,29
Rocky Ridge,0,0,0,0,0,10.7
Roosevelt,0,0,0.3,0,5.1,67.5
Roy,6.6,0,4.5,0,8.3,154.2
Rush Valley,0,0,0,0,0,47.6
Salem,7.9,0,3.3,0,3.8,120.7
Salina,4,0,0,0,6.6,82.9
Salt Lake City,58.4,3,131,41.3,19.4,905.5
Salt Lake County (Unincorporated),22.8,0,21.5,31.6,46.6,296.2
San Juan County (Unincorporated),0.5,0,0,0,130.4,8137.7
Sandy,16.6,0,23.2,1.5,34.5,417.4
Sanpete County (Unincorporated),0,0,0,0,66.8,3049.7
Santa Clara,3.7,0,3.7,0,4.1,58.2
Santaquin,3.2,0,1.1,0,4.8,117.6
Saratoga Springs,74,0,26.2,0.1,12.2,244.4
Scipio,0,0,0,0,0.8,19.1
Scofield,0,0,0,0,0,12.5
Sevier County (Unincorporated),21.4,0,0,0.1,53.6,3225.9
Sigurd,0,0,0,0,5.1,25
Smithfield,3.3,0,0,0,5.1,84.2
Snowville,0,0,0,0,0.4,6.5
South Jordan,53.6,0.2,37,1.3,21,411.5
South Ogden,1.8,0,1.4,0,11.8,74.1
South Salt Lake,9.2,0,12.8,0,7.2,121.4
South Weber,0.8,0,0.6,0,9.4,60.6
Spanish Fork,32.1,0,3.5,0,25.7,241.9
Spring City,0,0,0,0,0.9,26.5
Springdale,0,0,0.6,0,1.7,23.1
Springville,12.4,0,9.3,0.3,9.3,185.3
St. George,47.9,0,6.8,0,89.9,765.9
Sterling,0,0,0,0,0.2,4.9
Stockton,0,0,0,0,0.4,14.3
Summit County (Unincorporated),51.9,0,2,0,49.4,2819.5
Sunset,0,0,1.5,0,2.4,32.2
Syracuse,17.6,0,13.9,0,5.7,184.6
Tabiona,0,0,0,0,0,4.8
Taylorsville,7.5,0,4.1,0.1,16.7,215.9
Tooele,5.8,0,3.6,0,16.8,222.6
Tooele County (Unincorporated),2.7,0,1.7,0,52.6,5602.8
Toquerville,0.4,0,0,0,1.9,86.7
Torrey,0.6,0,0,0,0,22.5
Tremonton,0,0,0,0,7.2,86.1
Trenton,0,0,0,0,0,27.4
Tropic,0,0,0,0,0.3,30.6
Uintah,0,0,0,0,1.4,14
Uintah County (Unincorporated),0,0,1.4,0,114.2,6585.9
Utah County (Unincorporated),49.8,0.7,11.7,0,92.1,1397.8
Vernal,0,0,1.5,0,20.5,70.1
Vernon,0,0,0,0,0,23.1
Vineyard,21.2,0,3.5,1.6,1.1,54.2
Virgin,0,0,0,0,4.4,50.7
Wales,0,0,0,0,0,5.9
Wallsburg,0,0,0,0,0,4.7
Wasatch County (Unincorporated),19.5,0,0,0.3,85.4,1972.4
Washington,22.5,0,0,0.2,25,343
Washington County (Unincorporated),25.6,0,1,0,42.3,2171.8
Washington Terrace,0.5,0,0,0,1.6,32.7
Wayne County (Unincorporated),0.6,0,0,0,9.8,2243.2
Weber County (Unincorporated),14.4,0,0.2,4.5,11.5,707.2
Wellington,0,0,0,0,5.2,34.6
Wellsville,1.2,0,0,0,12.6,52.1
Wendover,0,0,0,0,1.2,44.6
West Bountiful,6,0,1.7,0,4.1,42.6
West Haven,10.3,0,2.8,0,10.4,117.8
West Jordan,26.9,0,32.9,0.1,51.7,474.8
West Point,5.8,0,1.1,0,9.4,69.8
West Valley City,35.4,0,19.1,0.7,47.2,478
White City,3.1,0,0.1,0,1.2,19.6
Willard,1.5,0,0.1,0,1.8,53.5
Woodland Hills,0,0,0,0,0.1,20.6
Woodruff,0,0,0,0,0,9.9
Woods Cross,7.8,0,1.8,0,3.1,60.7
NA,0,0,0,0,0,51.1
